874 2871
121 400 748
841 293 224
601 488 236
222 841 678
20 455 899
670 467 811
598 510 682
28 431 818
175 169 250
862 859 64
119 25 798
720 112 860
506 416 428
132 509 104
378 303 359
220 618 593
829 177 438
657 553 480
869 181 74
104 324 27
197 312 924
218 770 515
523 58 49
118 575 827
807 591 599
277 445 96
400 797 131
130 701 222
682 649 253
840 799 127
146 551 909
181 158 439
507 841 281
404 649 140
233 22 701
266 524 972
112 598 869
817 16 693
80 487 819
219 25 724
863 125 373
223 400 237
364 517 488
417 815 592
276 96 585
32 779 813
412 439 270
494 591 438
626 215 441
328 181 972
122 506 635
531 620 162
148 273 1000
263 375 904
685 44 93
96 414 85
426 121 741
804 768 529
441 589 851
246 589 19
502 399 768
293 531 816
250 146 697
722 343 35
610 234 627
398 272 413
103 786 205
569 289 873
527 605 474
410 779 901
38 536 513
716 106 358
607 149 331
325 846 147
491 546 544
56 367 809
661 842 505
631 840 661
521 547 455
137 684 321
192 405 273
643 786 902
858 857 393
745 165 809
454 89 909
63 191 175
478 119 852
190 754 628
95 776 628
511 706 422
192 69 744
873 773 330
540 869 286
348 747 499
385 781 210
485 647 225
256 280 362
674 546 312
600 498 283
424 426 664
327 128 329
823 27 697
289 497 8
153 282 462
846 609 815
631 787 825
798 367 498
680 669 597
383 657 489
764 637 543
686 307 370
688 350 476
750 289 133
752 384 827
802 495 145
414 298 58
187 289 195
826 274 218
564 612 447
446 550 93
319 562 160
632 726 565
204 100 803
281 362 426
429 67 514
346 525 713
751 720 767
778 851 287
696 237 782
496 181 435
682 728 273
37 390 913
454 845 336
188 234 664
477 778 934
644 582 15
421 179 15
95 64 412
5 52 569
614 369 508
676 487 74
420 321 893
176 202 465
389 823 968
321 596 258
383 515 774
542 710 881
683 64 225
450 67 256
768 849 27
450 222 674
629 146 806
443 286 31
152 796 859
98 200 651
731 139 893
314 750 923
491 681 316
619 70 682
821 868 768
209 701 129
22 392 137
625 319 248
149 343 710
281 326 755
352 394 47
56 590 424
165 202 630
716 79 563
735 43 114
132 299 316
777 500 865
266 468 250
363 117 478
271 236 619
310 571 472
476 239 297
393 248 732
650 137 133
690 764 192
352 662 347
45 212 97
477 246 737
183 158 300
661 451 352
110 866 581
475 420 953
175 163 914
539 290 975
592 785 750
717 294 97
595 74 858
175 456 711
530 587 409
804 56 431
578 829 649
361 48 386
82 819 991
115 32 367
285 749 106
191 855 227
406 137 635
788 835 467
658 178 258
392 438 357
856 862 274
384 46 681
634 851 702
828 600 722
765 77 643
551 227 260
161 71 94
30 294 507
254 757 464
605 180 434
784 13 367
211 581 852
393 162 621
136 656 267
189 727 757
153 524 727
501 847 217
382 630 427
594 520 401
210 805 936
74 373 206
107 223 861
664 303 449
337 743 155
422 98 611
849 620 445
536 48 680
274 842 301
835 162 830
274 320 958
327 624 250
473 837 616
186 592 551
365 391 825
825 235 731
478 732 802
421 659 69
374 498 839
227 314 574
735 339 142
271 336 333
215 440 504
709 636 329
237 585 437
734 163 456
803 237 536
196 503 105
870 451 386
157 166 803
319 483 867
541 3 784
605 327 967
404 237 881
709 556 930
824 404 348
754 246 778
362 140 219
856 467 949
598 659 987
303 499 317
668 76 32
526 829 787
249 513 90
867 540 713
758 612 140
64 562 225
56 518 618
190 409 111
513 733 33
712 851 297
479 18 511
151 648 451
476 86 525
406 403 116
782 134 736
261 9 275
823 576 275
770 821 321
262 715 738
636 329 525
480 212 158
152 124 40
598 796 643
585 774 167
697 56 906
775 838 238
279 363 142
306 186 897
165 93 25
309 732 822
525 218 850
528 544 652
612 563 783
43 235 209
574 633 431
257 310 701
385 382 466
616 649 609
25 678 579
381 216 424
300 127 353
32 846 65
826 438 426
77 645 697
172 508 332
762 93 546
140 207 774
128 157 959
258 570 835
526 210 488
342 761 620
7 449 78
267 763 333
367 874 483
34 349 342
355 715 25
175 274 206
464 696 208
775 305 982
771 11 493
337 609 283
310 226 32
250 609 202
53 790 787
561 263 618
635 431 179
445 767 852
309 22 94
703 495 389
155 666 225
607 256 958
410 127 217
841 314 462
402 700 124
306 188 108
512 540 802
31 711 263
83 842 82
162 381 807
462 71 900
387 201 107
719 669 618
616 369 628
840 452 298
521 518 452
575 142 950
841 721 59
244 189 201
49 367 667
303 196 667
695 518 648
386 822 274
61 610 944
333 455 676
642 497 84
704 51 181
460 235 720
215 319 5
23 615 523
367 49 333
157 96 322
74 819 844
500 641 288
444 513 348
137 166 329
477 586 209
157 385 993
514 270 772
821 795 202
504 137 320
508 865 602
172 672 278
85 258 799
589 731 170
636 31 380
781 821 876
327 8 1000
520 562 56
627 546 740
523 291 580
22 587 971
497 778 55
752 130 793
531 337 314
811 701 96
152 217 905
821 575 570
29 326 381
286 517 407
559 4 15
827 663 443
390 612 342
457 282 211
664 321 114
781 112 985
722 169 120
337 319 198
348 283 948
80 185 231
65 722 194
47 284 297
271 538 819
614 441 38
780 288 379
384 261 251
63 377 929
119 275 261
332 108 451
439 274 632
235 53 242
493 563 700
386 724 39
231 772 820
811 699 507
248 39 537
785 422 825
232 838 521
745 328 76
851 560 292
78 783 395
520 399 576
813 527 899
727 107 511
477 380 900
815 871 1000
8 185 865
612 308 153
94 204 645
506 122 47
705 45 380
363 279 669
109 35 700
552 254 409
587 72 449
344 731 268
260 449 793
577 838 631
426 313 988
462 178 897
153 399 897
565 94 414
537 456 551
218 366 549
498 259 620
243 722 556
476 77 481
329 702 477
227 773 968
223 740 432
242 111 958
123 297 217
451 63 299
522 524 489
198 773 873
299 753 665
70 842 364
315 831 477
480 756 912
93 433 742
186 689 319
758 625 922
399 239 926
354 817 720
50 212 844
138 611 96
123 104 153
239 459 562
57 840 583
394 218 663
448 464 420
657 516 148
771 407 67
318 87 688
313 382 37
849 56 402
847 780 235
297 396 11
196 288 671
865 99 120
672 437 74
179 570 567
836 613 2
646 528 638
310 623 215
503 545 618
145 112 242
673 784 757
640 784 561
368 40 594
701 207 559
735 346 699
310 64 949
28 183 92
348 608 778
563 228 540
484 248 608
627 215 608
859 601 85
69 275 971
552 642 437
481 137 378
188 659 617
340 607 923
64 844 430
132 596 765
798 452 613
158 858 483
665 511 822
767 96 368
266 166 701
597 377 783
672 264 209
42 77 720
432 486 667
711 70 849
801 506 7
812 523 538
655 243 509
588 249 45
128 738 745
291 837 708
281 113 95
809 874 779
762 338 441
312 344 545
802 61 861
297 622 634
618 862 26
851 831 8
580 688 274
849 245 149
123 333 39
456 398 660
765 34 930
290 324 940
668 406 106
172 491 501
450 74 581
500 45 1000
40 615 634
750 659 558
42 812 340
10 532 570
237 62 951
518 702 198
488 640 604
91 838 239
628 719 402
507 719 706
428 837 713
157 329 90
223 356 453
646 225 461
605 540 252
304 731 711
806 367 478
675 728 656
257 512 681
501 348 398
6 103 446
768 236 634
227 355 996
256 251 968
691 457 470
170 176 109
323 147 147
283 786 358
729 165 868
830 810 266
507 446 380
633 468 273
241 20 603
32 461 146
449 100 246
7 128 540
630 866 496
658 222 634
137 254 266
296 863 907
116 518 273
127 399 981
105 453 719
754 767 232
643 144 772
126 757 17
709 850 897
401 867 911
402 637 741
42 645 520
246 792 32
91 323 478
110 459 388
568 334 839
40 186 130
441 570 346
490 406 870
242 27 872
54 828 280
218 376 281
606 506 252
672 24 529
388 359 731
272 24 712
332 283 867
466 494 886
22 452 364
245 242 300
239 858 131
832 568 31
148 527 173
505 826 678
710 578 834
460 831 97
16 179 482
163 298 812
551 176 801
4 139 68
670 486 83
319 617 21
573 795 438
43 764 2
355 670 698
53 407 219
868 247 910
577 740 20
772 78 279
781 865 518
301 787 784
597 787 708
502 849 258
240 79 313
605 707 598
274 538 87
182 837 613
813 874 100
284 151 246
573 526 305
314 580 101
369 62 361
692 348 322
353 294 588
631 729 598
516 729 223
456 608 576
842 52 124
168 332 889
502 321 223
78 520 703
523 259 156
267 311 900
289 301 517
249 109 808
524 373 254
13 569 408
754 394 877
687 306 76
110 239 285
736 188 855
531 831 765
525 72 555
573 269 572
650 720 764
364 642 163
866 391 189
680 66 61
844 256 781
822 182 864
451 328 669
479 704 254
13 122 933
513 780 862
97 327 388
135 836 755
818 384 127
795 113 866
407 163 956
228 428 328
176 82 576
168 370 733
185 197 854
725 239 486
6 727 529
326 502 434
304 571 796
842 745 943
154 190 877
95 32 377
270 172 319
248 661 11
343 450 928
421 861 373
19 509 200
518 35 257
6 653 206
701 87 501
833 589 373
277 574 863
4 858 403
164 280 189
778 773 927
40 36 343
673 618 556
551 193 151
389 89 231
470 624 440
374 464 854
695 714 973
587 263 954
154 394 871
721 90 942
96 560 883
301 649 789
762 470 600
529 326 793
688 846 564
233 865 969
516 427 120
621 574 139
415 785 207
792 245 394
629 131 533
695 641 747
691 48 519
289 871 590
340 746 254
605 790 985
675 275 633
654 367 696
800 282 218
492 344 434
99 762 624
399 733 159
478 521 627
236 458 789
424 641 111
22 213 450
429 478 755
249 603 125
428 6 609
318 394 17
237 729 24
562 382 882
273 508 600
126 433 993
82 781 871
121 779 85
817 414 173
862 313 733
5 776 176
48 2 709
277 3 650
437 324 968
285 34 429
109 236 138
755 407 793
589 845 300
26 51 132
95 289 902
173 832 797
307 758 88
31 383 370
840 553 746
833 114 997
743 796 614
53 156 487
125 59 856
864 637 781
607 289 84
350 873 900
72 577 820
729 785 491
502 801 533
852 338 828
272 378 794
678 714 582
501 19 477
75 818 918
282 782 776
23 495 700
353 838 888
441 396 492
511 414 125
570 363 612
124 686 490
829 34 218
277 206 96
702 488 902
631 294 100
703 345 120
681 810 375
663 855 186
828 208 522
407 751 990
860 637 454
202 33 315
158 204 431
343 309 192
397 737 430
771 104 754
798 386 663
809 571 289
473 570 819
7 833 204
132 122 444
84 523 518
700 699 475
606 724 97
577 323 327
484 391 119
90 231 950
727 148 517
831 312 257
388 441 243
202 280 714
181 807 766
393 569 699
581 240 245
9 236 305
183 291 365
834 539 287
684 691 137
635 854 928
820 455 590
758 93 876
91 256 588
242 205 677
788 842 579
217 226 997
154 432 909
206 274 28
752 810 524
746 677 134
423 166 567
293 233 676
201 756 854
787 724 714
215 701 334
559 322 311
702 64 302
612 357 601
860 730 80
380 451 125
146 756 559
737 767 558
757 843 681
870 595 792
363 54 561
59 308 633
849 367 417
227 705 303
113 427 115
136 647 604
425 112 250
796 750 519
474 191 818
605 166 854
154 601 260
332 266 746
389 382 602
656 46 942
715 364 99
219 859 799
494 423 161
547 669 650
342 853 408
843 207 200
857 176 943
129 786 314
223 304 212
688 40 520
429 820 724
287 75 226
355 13 589
321 646 776
94 750 864
180 63 756
481 772 29
405 620 316
412 1 259
870 300 530
55 578 87
683 716 403
848 623 840
23 759 780
512 218 784
3 375 378
764 251 818
504 277 116
857 475 537
369 622 561
134 504 157
36 140 596
642 190 463
231 654 121
219 435 731
527 712 700
319 625 957
172 811 258
577 241 424
231 311 804
453 226 463
835 529 116
252 430 259
493 572 635
554 497 710
696 470 747
682 161 329
393 857 804
167 528 439
484 727 880
159 595 599
708 445 671
263 49 429
162 668 809
490 692 988
832 476 760
788 305 498
682 93 671
737 811 787
452 305 780
335 123 469
47 854 741
742 65 52
477 128 893
690 490 601
507 744 527
456 599 288
360 179 722
599 743 349
335 128 614
744 828 84
803 753 755
355 599 294
502 431 574
18 292 913
188 382 455
409 245 763
754 151 6
150 648 548
708 871 558
825 731 196
113 161 56
684 411 77
524 93 400
459 13 781
111 424 783
470 131 823
281 821 17
798 524 710
295 382 162
279 339 906
429 676 912
105 258 749
26 342 653
637 367 463
680 562 575
23 821 329
752 103 549
775 222 687
610 764 149
534 103 270
492 401 507
801 63 662
260 773 460
296 346 657
760 519 320
470 362 669
279 253 888
348 415 12
222 541 731
828 236 741
332 168 824
362 81 706
332 7 264
272 557 413
523 102 830
299 510 561
413 576 192
199 272 48
550 528 872
861 209 576
122 194 317
168 287 301
219 441 752
770 568 931
739 768 212
748 126 203
577 85 381
113 79 483
572 292 569
708 366 911
587 227 637
493 375 174
112 47 874
329 826 157
30 185 886
213 304 829
721 699 742
489 196 646
356 710 381
75 689 4
14 760 209
215 431 197
415 467 638
264 739 252
787 591 616
124 354 49
204 57 365
197 128 156
273 670 857
682 31 277
788 96 829
749 810 737
462 385 716
549 529 877
66 152 504
277 512 276
171 145 240
11 156 161
863 527 717
501 641 656
493 255 92
31 778 297
794 371 673
779 193 965
643 367 499
148 841 493
262 31 665
821 504 946
81 96 633
345 632 338
681 107 339
308 664 520
364 107 861
361 785 579
124 792 921
370 672 648
610 816 657
522 872 828
185 716 500
518 134 936
128 372 867
294 533 587
31 693 144
271 777 205
714 761 275
706 254 155
742 301 596
242 326 560
415 399 423
345 406 87
94 390 317
531 159 779
721 552 896
415 224 392
772 756 460
351 368 914
167 25 901
4 179 667
714 271 403
28 269 930
645 821 536
724 697 268
390 861 994
131 269 792
478 175 244
757 310 235
860 836 181
122 86 207
617 181 619
571 149 958
541 172 369
651 89 7
562 659 963
36 823 50
526 656 278
506 633 907
29 803 712
638 578 629
247 59 701
95 704 976
860 728 833
507 416 98
706 490 908
227 512 617
587 536 807
604 723 445
690 590 135
241 94 219
710 242 930
300 600 880
482 855 766
370 203 898
336 154 245
829 482 270
872 263 561
219 732 856
99 157 369
209 193 648
755 432 61
307 651 329
739 146 373
197 744 560
130 101 192
156 745 389
193 729 297
507 145 828
164 76 910
732 634 709
775 780 599
565 818 280
481 127 708
12 563 480
23 95 656
15 611 885
479 386 597
674 58 677
124 3 228
384 787 744
467 658 503
339 422 735
399 115 372
410 39 888
819 96 724
705 199 763
86 374 526
426 199 650
21 98 137
809 4 635
642 375 867
861 227 828
1 584 871
770 724 997
846 517 533
518 538 158
293 448 80
786 597 23
396 244 222
736 228 125
46 227 938
118 874 102
6 256 839
651 235 672
275 311 707
743 268 157
226 410 887
791 801 368
778 229 539
757 295 775
305 342 579
104 117 665
25 577 88
284 731 750
371 313 322
682 373 238
312 760 646
649 660 782
331 225 941
748 285 187
802 531 924
557 586 337
743 168 62
551 797 130
579 705 567
142 293 859
111 434 802
32 136 486
833 255 148
130 618 395
177 274 926
862 388 664
453 223 754
280 782 173
101 60 445
874 1 714
207 831 737
667 432 535
805 228 564
797 504 756
428 23 442
623 816 906
453 289 448
145 727 423
510 857 757
548 530 830
814 304 894
319 39 183
136 172 857
134 615 603
188 200 566
360 76 352
122 102 233
219 412 249
213 136 380
406 458 301
818 131 480
318 723 755
13 436 492
422 654 519
785 340 5
524 439 941
372 521 537
693 677 264
599 380 824
20 799 364
824 62 953
298 835 189
574 85 570
332 545 253
368 666 199
412 100 364
98 309 259
813 636 407
517 406 8
214 93 42
661 133 403
469 17 284
736 836 508
49 463 54
743 122 154
29 287 485
523 814 407
710 501 755
443 710 954
329 758 70
536 54 229
555 331 982
57 507 233
794 729 586
349 865 385
786 397 223
616 62 154
273 60 163
377 801 88
175 855 187
669 795 757
237 698 656
79 642 235
840 355 386
572 750 141
402 191 826
872 184 719
652 789 513
534 720 765
839 5 428
522 373 592
381 101 160
800 738 102
702 180 896
368 520 411
628 9 817
815 377 75
419 513 657
266 660 845
432 755 457
681 594 415
491 441 516
71 782 224
210 500 352
581 398 989
357 297 833
432 650 226
648 842 534
91 362 612
127 615 776
109 340 936
605 739 594
154 672 917
578 761 625
295 680 490
196 104 942
288 630 145
455 259 386
834 426 456
624 3 161
700 73 36
350 786 58
297 428 564
324 275 873
708 192 120
721 203 662
73 347 651
369 331 574
851 692 75
801 757 427
77 335 386
215 263 588
169 394 370
336 716 363
481 532 650
396 611 765
412 322 887
749 848 390
169 722 557
450 205 217
100 30 960
304 600 913
20 812 897
663 198 940
25 802 899
440 426 15
415 748 819
110 329 40
123 73 143
102 428 235
752 88 974
778 735 409
269 544 758
515 376 759
293 97 732
796 857 308
174 713 471
303 284 460
302 311 63
615 815 207
667 636 1
2 704 193
183 71 51
650 756 176
398 362 562
116 356 694
413 122 564
839 244 315
421 535 583
41 182 432
494 688 826
208 540 154
614 304 537
25 42 207
142 202 855
291 659 322
733 252 776
530 833 502
166 791 424
9 295 968
743 794 518
762 870 682
44 400 856
196 102 816
616 119 62
157 771 45
491 163 990
604 332 708
680 72 640
788 175 559
363 186 702
591 190 873
381 749 43
188 79 410
435 360 885
479 542 897
122 271 593
529 481 716
476 323 333
850 373 643
333 677 887
311 497 734
791 260 980
722 584 493
339 346 117
184 601 178
312 91 283
718 349 218
791 633 479
449 602 115
545 825 654
94 236 271
533 64 273
654 568 880
242 626 269
756 465 628
167 95 148
582 874 140
216 555 144
206 870 973
264 529 107
551 58 692
655 416 435
33 104 52
457 461 466
50 621 916
786 209 684
253 774 777
186 402 393
185 322 305
810 346 326
762 542 179
639 598 661
445 85 60
29 777 842
566 667 400
828 830 421
874 183 939
787 287 991
820 114 114
750 620 307
159 148 597
475 347 25
828 40 60
625 773 848
508 575 801
836 613 593
197 151 199
471 132 970
539 763 769
569 402 439
96 219 140
600 274 240
347 255 739
541 774 684
782 387 987
307 676 531
100 662 740
327 272 741
564 638 502
852 27 600
561 242 333
846 869 362
324 812 282
482 236 549
15 850 639
344 674 89
315 527 330
406 519 362
423 861 258
285 113 816
225 103 969
273 365 652
756 288 915
608 432 432
676 117 190
784 17 745
553 437 30
717 746 847
632 82 273
651 175 962
735 788 37
305 463 192
85 188 540
15 733 720
470 618 988
299 604 137
794 365 195
153 90 541
241 783 515
349 670 401
408 509 330
549 347 422
324 795 795
185 743 433
222 39 579
95 733 14
305 762 111
349 451 959
507 413 142
270 716 349
476 864 159
615 173 469
104 488 840
683 570 47
249 105 685
138 259 497
407 220 999
550 823 329
407 396 217
52 337 565
490 225 633
238 25 956
427 425 726
856 756 109
415 86 280
327 692 313
238 560 149
619 430 575
59 232 832
219 40 353
308 669 992
396 260 824
472 845 721
870 241 897
383 512 54
28 656 770
6 362 895
382 199 451
771 424 166
460 663 359
618 832 290
705 664 732
350 50 570
12 665 956
540 43 361
203 543 131
259 223 134
521 851 53
82 620 641
588 250 959
119 64 4
422 748 10
99 280 524
104 335 972
550 391 956
643 676 515
472 52 355
289 206 77
66 612 678
177 660 549
237 786 654
393 11 935
679 793 733
65 147 710
225 81 774
153 336 4
116 515 587
600 23 500
823 60 12
801 261 428
651 423 526
541 289 57
388 320 600
188 87 536
591 667 740
120 279 259
64 813 133
326 789 398
266 428 625
133 631 448
396 259 680
342 256 676
578 112 328
241 165 756
382 404 69
809 139 985
613 596 187
238 583 860
724 444 547
382 475 984
389 722 117
728 265 883
801 368 862
519 235 590
827 26 848
308 482 793
605 478 876
831 326 19
39 739 818
653 98 735
270 757 779
377 45 390
679 256 957
851 852 587
373 250 337
146 320 401
384 345 794
447 618 643
481 641 541
412 73 665
55 770 409
438 748 475
789 322 615
657 827 142
590 168 726
418 731 566
404 184 263
230 296 219
404 770 115
130 36 81
692 868 568
850 219 634
188 517 352
801 302 114
325 323 762
258 71 283
93 630 754
11 289 692
594 858 645
406 167 846
279 129 50
418 800 413
428 525 676
111 732 359
102 791 585
247 767 248
353 821 490
483 656 92
393 555 452
42 602 691
294 184 871
231 299 968
335 709 417
134 812 68
1 185 238
649 355 155
796 193 581
538 751 6
379 729 901
103 484 247
270 440 383
387 731 52
800 22 905
632 713 163
601 446 702
635 362 792
660 101 887
120 833 817
393 218 722
494 169 958
524 36 360
360 460 429
742 72 409
41 110 967
414 107 977
114 189 354
13 561 786
736 128 770
600 151 37
207 638 976
864 563 578
700 500 568
357 586 250
454 753 257
571 267 99
797 478 759
707 199 907
591 803 745
326 807 948
773 426 551
349 1 603
109 778 825
556 426 988
835 125 651
761 16 243
647 397 521
318 171 716
728 371 655
824 27 906
22 7 313
213 299 592
637 865 351
793 344 973
251 762 668
315 224 372
212 32 393
149 220 27
101 851 581
427 121 642
823 312 512
162 68 183
312 833 716
63 677 764
33 405 249
155 715 872
67 187 510
193 92 248
504 494 513
677 745 225
123 640 162
371 338 426
569 803 447
194 705 375
366 467 919
338 410 893
227 779 341
677 873 830
735 857 101
699 835 463
758 484 624
784 562 144
167 714 38
747 195 76
540 586 635
154 271 320
832 218 775
350 829 315
79 319 837
463 343 248
163 374 768
313 408 898
243 80 310
656 507 859
860 142 518
642 398 787
196 674 751
394 549 867
691 852 579
242 270 563
714 137 532
792 408 175
263 675 274
355 488 328
269 585 658
825 182 325
152 78 421
11 292 975
429 760 935
70 840 713
479 328 520
855 647 148
464 656 983
655 132 341
864 563 96
61 859 919
508 349 345
813 261 814
815 632 18
677 819 322
826 718 122
847 61 739
128 654 72
280 806 34
504 675 188
549 442 121
377 56 758
818 87 800
360 130 42
391 174 95
345 10 577
257 68 142
505 522 159
464 710 567
346 642 738
92 489 476
235 563 559
640 524 227
457 634 86
730 92 876
577 694 333
420 39 306
13 614 861
77 689 588
173 352 877
201 702 970
72 331 977
653 180 706
614 302 5
543 234 646
504 310 529
71 608 686
483 442 421
321 553 429
523 52 869
461 652 852
616 613 727
626 847 100
554 607 241
12 606 550
763 692 287
445 767 21
404 596 446
204 13 751
804 856 413
79 473 320
844 67 809
691 77 229
88 673 888
282 420 263
515 294 788
536 717 879
636 678 888
246 371 654
52 340 887
430 159 295
836 113 182
158 287 197
26 497 536
659 389 912
542 1 404
726 105 932
703 530 435
263 363 458
691 558 99
796 408 253
583 796 764
831 739 980
497 509 88
93 692 89
790 31 430
459 344 49
537 376 1
607 66 86
674 489 227
618 575 937
763 186 783
731 93 679
419 549 553
266 340 717
540 520 306
503 126 252
